,global_entity_id,orders,threshold,performance_metric,value
959,FP_TH,3,0.3,precision_recall_auc,0.67
355,FP_TH,4,0.3,accuracy,0.3
757,FP_TH,4,0.3,f1_score,0.46
1159,FP_TH,4,0.3,precision_recall_auc,0.65
252,FP_TH,1,0.5,accuracy,0.6
654,FP_TH,1,0.5,f1_score,0.21
1056,FP_TH,1,0.5,precision_recall_auc,0.57
52,FP_TH,2,0.5,accuracy,0.65
454,FP_TH,2,0.5,f1_score,0.38
856,FP_TH,2,0.5,precision_recall_auc,0.57
156,FP_TH,3,0.5,accuracy,0.71
558,FP_TH,3,0.5,f1_score,0.42
960,FP_TH,3,0.5,precision_recall_auc,0.59
356,FP_TH,4,0.5,accuracy,0.77
758,FP_TH,4,0.5,f1_score,0.54
1160,FP_TH,4,0.5,precision_recall_auc,0.64
253,FP_TH,1,0.7,accuracy,0.58
655,FP_TH,1,0.7,f1_score,0.0
1057,FP_TH,1,0.7,precision_recall_auc,0.71
53,FP_TH,2,0.7,accuracy,0.62
455,FP_TH,2,0.7,f1_score,0.01
857,FP_TH,2,0.7,precision_recall_auc,0.39
157,FP_TH,3,0.7,accuracy,0.66
559,FP_TH,3,0.7,f1_score,0.02
961,FP_TH,3,0.7,precision_recall_auc,0.39
357,FP_TH,4,0.7,accuracy,0.71
759,FP_TH,4,0.7,f1_score,0.05
1161,FP_TH,4,0.7,precision_recall_auc,0.47
106,FP_TW,3,0.3,accuracy,0.61
508,FP_TW,3,0.3,f1_score,0.47
910,FP_TW,3,0.3,precision_recall_auc,0.66
302,FP_TW,4,0.3,accuracy,0.6
704,FP_TW,4,0.3,f1_score,0.47
1106,FP_TW,4,0.3,precision_recall_auc,0.61
209,FP_TW,1,0.5,accuracy,0.52
611,FP_TW,1,0.5,f1_score,0.22
1013,FP_TW,1,0.5,precision_recall_auc,0.62
7,FP_TW,2,0.5,accuracy,0.55
409,FP_TW,2,0.5,f1_score,0.36
811,FP_TW,2,0.5,precision_recall_auc,0.62
107,FP_TW,3,0.5,accuracy,0.61
509,FP_TW,3,0.5,f1_score,0.4
911,FP_TW,3,0.5,precision_recall_auc,0.68
303,FP_TW,4,0.5,accuracy,0.62
705,FP_TW,4,0.5,f1_score,0.37
1107,FP_TW,4,0.5,precision_recall_auc,0.61
8,FP_TW,2,0.7,accuracy,0.5
410,FP_TW,2,0.7,f1_score,0.01
812,FP_TW,2,0.7,precision_recall_auc,0.75
108,FP_TW,3,0.7,accuracy,0.52
510,FP_TW,3,0.7,f1_score,0.0
912,FP_TW,3,0.7,precision_recall_auc,0.41
304,FP_TW,4,0.7,accuracy,0.57
706,FP_TW,4,0.7,f1_score,0.01
1108,FP_TW,4,0.7,precision_recall_auc,0.42
260,FY_CY,1,0.5,accuracy,0.58
662,FY_CY,1,0.5,f1_score,0.15
1064,FY_CY,1,0.5,precision_recall_auc,0.45
61,FY_CY,2,0.5,accuracy,0.58
463,FY_CY,2,0.5,f1_score,0.26
865,FY_CY,2,0.5,precision_recall_auc,0.53
164,FY_CY,3,0.5,accuracy,0.69
566,FY_CY,3,0.5,f1_score,0.41
968,FY_CY,3,0.5,precision_recall_auc,0.57
364,FY_CY,4,0.5,accuracy,0.61
766,FY_CY,4,0.5,f1_score,0.37
1168,FY_CY,4,0.5,precision_recall_auc,0.56
261,FY_CY,1,0.7,accuracy,0.59
663,FY_CY,1,0.7,f1_score,0.02
1065,FY_CY,1,0.7,precision_recall_auc,0.46
62,FY_CY,2,0.7,accuracy,0.59
464,FY_CY,2,0.7,f1_score,0.09
866,FY_CY,2,0.7,precision_recall_auc,0.63
165,FY_CY,3,0.7,accuracy,0.7
567,FY_CY,3,0.7,f1_score,0.2
969,FY_CY,3,0.7,precision_recall_auc,0.71
365,FY_CY,4,0.7,accuracy,0.58
767,FY_CY,4,0.7,f1_score,0.17
1169,FY_CY,4,0.7,precision_recall_auc,0.46
287,HF_EG,1,0.3,accuracy,0.52
689,HF_EG,1,0.3,f1_score,0.31
1091,HF_EG,1,0.3,precision_recall_auc,0.5
91,HF_EG,2,0.3,accuracy,0.54
493,HF_EG,2,0.3,f1_score,0.42
895,HF_EG,2,0.3,precision_recall_auc,0.56
197,HF_EG,3,0.3,accuracy,0.55
599,HF_EG,3,0.3,f1_score,0.39
1001,HF_EG,3,0.3,precision_recall_auc,0.5
395,HF_EG,4,0.3,accuracy,0.56
797,HF_EG,4,0.3,f1_score,0.41
1199,HF_EG,4,0.3,precision_recall_auc,0.52
288,HF_EG,1,0.5,accuracy,0.57
690,HF_EG,1,0.5,f1_score,0.11
1092,HF_EG,1,0.5,precision_recall_auc,0.56
92,HF_EG,2,0.5,accuracy,0.6
494,HF_EG,2,0.5,f1_score,0.26
896,HF_EG,2,0.5,precision_recall_auc,0.63
198,HF_EG,3,0.5,accuracy,0.67
600,HF_EG,3,0.5,f1_score,0.31
1002,HF_EG,3,0.5,precision_recall_auc,0.59
396,HF_EG,4,0.5,accuracy,0.66
798,HF_EG,4,0.5,f1_score,0.32
1200,HF_EG,4,0.5,precision_recall_auc,0.57
199,HF_EG,3,0.7,accuracy,0.63
601,HF_EG,3,0.7,f1_score,0.01
1003,HF_EG,3,0.7,precision_recall_auc,0.6
397,HF_EG,4,0.7,accuracy,0.63
799,HF_EG,4,0.7,f1_score,0.01
1201,HF_EG,4,0.7,precision_recall_auc,0.69
210,HS_SA,1,0.3,accuracy,0.55
612,HS_SA,1,0.3,f1_score,0.16
1014,HS_SA,1,0.3,precision_recall_auc,0.56
9,HS_SA,2,0.3,accuracy,0.58
411,HS_SA,2,0.3,f1_score,0.31
813,HS_SA,2,0.3,precision_recall_auc,0.59
109,HS_SA,3,0.3,accuracy,0.61
511,HS_SA,3,0.3,f1_score,0.41
913,HS_SA,3,0.3,precision_recall_auc,0.61
305,HS_SA,4,0.3,accuracy,0.62
707,HS_SA,4,0.3,f1_score,0.46
1109,HS_SA,4,0.3,precision_recall_auc,0.61
211,HS_SA,1,0.5,accuracy,0.53
613,HS_SA,1,0.5,f1_score,0.03
1015,HS_SA,1,0.5,precision_recall_auc,0.46
10,HS_SA,2,0.5,accuracy,0.55
412,HS_SA,2,0.5,f1_score,0.08
814,HS_SA,2,0.5,precision_recall_auc,0.51
110,HS_SA,3,0.5,accuracy,0.57
512,HS_SA,3,0.5,f1_score,0.13
914,HS_SA,3,0.5,precision_recall_auc,0.51
306,HS_SA,4,0.5,accuracy,0.59
708,HS_SA,4,0.5,f1_score,0.2
1110,HS_SA,4,0.5,precision_recall_auc,0.54
212,HS_SA,1,0.7,accuracy,0.53
614,HS_SA,1,0.7,f1_score,0.0
1016,HS_SA,1,0.7,precision_recall_auc,0.23
11,HS_SA,2,0.7,accuracy,0.54
413,HS_SA,2,0.7,f1_score,0.0
815,HS_SA,2,0.7,precision_recall_auc,0.23
111,HS_SA,3,0.7,accuracy,0.57
513,HS_SA,3,0.7,f1_score,0.0
915,HS_SA,3,0.7,precision_recall_auc,0.34
142,IN_AE,3,0.3,accuracy,0.58
