,global_entity_id,orders,threshold,performance_metric,value
753,IN_AE,4,0.5,precision_recall_auc,0.96
240,IN_AE,3,0.7,accuracy,0.17
539,IN_AE,3,0.7,f1_score,0.06
838,IN_AE,3,0.7,precision_recall_auc,0.76
156,IN_AE,4,0.7,accuracy,0.25
455,IN_AE,4,0.7,f1_score,0.36
754,IN_AE,4,0.7,precision_recall_auc,0.9
10,IN_BH,1,0.3,accuracy,0.67
309,IN_BH,1,0.3,f1_score,0.0
608,IN_BH,1,0.3,precision_recall_auc,0.16
68,IN_BH,2,0.3,accuracy,0.0
367,IN_BH,2,0.3,f1_score,0.0
666,IN_BH,2,0.3,precision_recall_auc,0.06
69,IN_BH,2,0.5,accuracy,0.75
368,IN_BH,2,0.5,f1_score,0.0
667,IN_BH,2,0.5,precision_recall_auc,0.06
48,IN_EG,1,0.3,accuracy,0.58
347,IN_EG,1,0.3,f1_score,0.22
646,IN_EG,1,0.3,precision_recall_auc,0.49
126,IN_EG,2,0.3,accuracy,0.51
425,IN_EG,2,0.3,f1_score,0.67
724,IN_EG,2,0.3,precision_recall_auc,0.79
294,IN_EG,3,0.3,accuracy,0.75
593,IN_EG,3,0.3,f1_score,0.86
892,IN_EG,3,0.3,precision_recall_auc,0.94
207,IN_EG,4,0.3,accuracy,0.85
506,IN_EG,4,0.3,f1_score,0.92
805,IN_EG,4,0.3,precision_recall_auc,0.93
127,IN_EG,2,0.5,accuracy,0.3
426,IN_EG,2,0.5,f1_score,0.25
725,IN_EG,2,0.5,precision_recall_auc,0.67
295,IN_EG,3,0.5,accuracy,0.54
594,IN_EG,3,0.5,f1_score,0.7
893,IN_EG,3,0.5,precision_recall_auc,0.92
208,IN_EG,4,0.5,accuracy,0.79
507,IN_EG,4,0.5,f1_score,0.88
806,IN_EG,4,0.5,precision_recall_auc,0.92
296,IN_EG,3,0.7,accuracy,0.15
595,IN_EG,3,0.7,f1_score,0.16
894,IN_EG,3,0.7,precision_recall_auc,0.92
209,IN_EG,4,0.7,accuracy,0.51
508,IN_EG,4,0.7,f1_score,0.67
807,IN_EG,4,0.7,precision_recall_auc,0.88
38,IN_OM,1,0.3,accuracy,0.6
337,IN_OM,1,0.3,f1_score,0.0
636,IN_OM,1,0.3,precision_recall_auc,0.1
34,IN_QA,1,0.3,accuracy,0.73
333,IN_QA,1,0.3,f1_score,0.0
632,IN_QA,1,0.3,precision_recall_auc,0.02
32,MJM_AT,1,0.3,accuracy,0.53
331,MJM_AT,1,0.3,f1_score,0.42
630,MJM_AT,1,0.3,precision_recall_auc,0.51
101,MJM_AT,2,0.3,accuracy,0.51
400,MJM_AT,2,0.3,f1_score,0.68
699,MJM_AT,2,0.3,precision_recall_auc,0.77
264,MJM_AT,3,0.3,accuracy,0.75
563,MJM_AT,3,0.3,f1_score,0.86
862,MJM_AT,3,0.3,precision_recall_auc,0.88
102,MJM_AT,2,0.5,accuracy,0.38
401,MJM_AT,2,0.5,f1_score,0.39
700,MJM_AT,2,0.5,precision_recall_auc,0.67
265,MJM_AT,3,0.5,accuracy,0.54
564,MJM_AT,3,0.5,f1_score,0.7
863,MJM_AT,3,0.5,precision_recall_auc,0.82
182,MJM_AT,4,0.7,accuracy,0.17
481,MJM_AT,4,0.7,f1_score,0.29
780,MJM_AT,4,0.7,precision_recall_auc,0.8
3,NP_HU,1,0.3,accuracy,0.78
302,NP_HU,1,0.3,f1_score,0.03
601,NP_HU,1,0.3,precision_recall_auc,0.22
56,NP_HU,2,0.3,accuracy,0.27
355,NP_HU,2,0.3,f1_score,0.42
654,NP_HU,2,0.3,precision_recall_auc,0.59
217,NP_HU,3,0.3,accuracy,0.55
516,NP_HU,3,0.3,f1_score,0.71
815,NP_HU,3,0.3,precision_recall_auc,0.77
4,NP_HU,1,0.5,accuracy,0.79
303,NP_HU,1,0.5,f1_score,0.0
602,NP_HU,1,0.5,precision_recall_auc,0.1
57,NP_HU,2,0.5,accuracy,0.37
356,NP_HU,2,0.5,f1_score,0.16
655,NP_HU,2,0.5,precision_recall_auc,0.54
218,NP_HU,3,0.5,accuracy,0.29
517,NP_HU,3,0.5,f1_score,0.45
816,NP_HU,3,0.5,precision_recall_auc,0.62
